QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,resp_A,resp_B,resp_C,resp_D,total_responses,pct_A,pct_B,pct_C,pct_D
1026,1274,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,251,Simplifying Expressions by Collecting Like Terms,C,"Jo and Paul are talking about which term could replace the star in this addition pyramid.
Jo says it could be: \( f \)
Paul says it could be: \( g \)
Who is correct? ![A diagram showing 3 rows of boxes. the bottom row has 3 boxes, containing a star, and empty box and 2g from left to right. The next row up contains two boxes, overlapping the joins of the boxes below. The left one contains 4f+6g, the right one is empty. The top row is one box, centered over the join of the two below, it is empty.]()","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,1690.0,1690.0,,,40,3,4,3,50,80.0,6.0,8.0,6.0
1027,3175,For a given output find the input of a function machine,173,Other Sequences,A,"![2 arrows pointing to the right. + 7 in the first arrow. divide by 2 in the second arrow]() The rule above is used to generate a term-to-term sequence.
If the third term is \( 9 \), what is the first term?",\( 15 \),\( 4 \),\( 11 \),\( 8 \),,2377.0,1631.0,2377.0,47,4,2,1,54,87.03703703703704,7.4074074074074066,3.7037037037037033,1.8518518518518516
1028,980,Solve coordinate geometry questions involving quadrilaterals,410,Distance Between Two Co-ordinates,D,"What is the height of the rectangle as indicated by the arrow? ![A pair of axes with no labels. 4 points are marked and joined with straight lines to make a rectangle. The top left corner of the rectangle is labelled with co-ordinate (-4,7).  The bottom right corner of the rectangle is labelled with co-ordinate (2,-12). A double-ended vertical arrow spans the height of the rectangle, starting level with (2,-12) and ending level with the corner of the rectangle directly above (2,-12).]()",\( 5 \),\( 6 \),\( 2 \),\( 19 \),110.0,1968.0,110.0,,8,3,3,72,86,9.30232558139535,3.488372093023256,3.488372093023256,83.72093023255815
1029,1102,Generate a descending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),D,"How many terms are greater than zero in this sequence:
\[
22-5 n
\]",\( 22 \),\( 17 \),\( 5 \),\( 4 \),,,936.0,,2,24,15,17,58,3.4482758620689653,41.37931034482759,25.862068965517242,29.310344827586203
1030,363,Convert fractions less than 1 to terminating decimals of 2 decimal places,237,Converting between Fractions and Decimals,B,"Tom and Katie are discussing fractions, decimals and percentages. Tom says \( \frac{11}{50}=0.11 \) Katie says \( \frac{11}{50}=22 \% \) Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,1715.0,,1715.0,120.0,249,29,186,32,496,50.201612903225815,5.846774193548387,37.5,6.451612903225806
1031,198,Divide integers of 3 or more digits using long division,208,Written Division,D,"When using long-division to solve this problem, what digit should replace the rectangle to give the correct answer (quotient)? ![Division sum written out in Bus Stop format with dividend = 735, divisor = 3, the digits of the quotient are represented by a yellow star, a purple triangle and a blue rectangle.]()",\( 0 \),\( 2 \),\( 1 \),\( 5 \),1155.0,2273.0,1155.0,,1,3,164,7,175,0.5714285714285714,1.7142857142857144,93.71428571428572,4.0
1032,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,B,\( 5+4 \times 3= \),\( 27 \),\( 17 \),\( 60 \),\( 12 \),1507.0,,2326.0,,309,460,97,99,965,32.020725388601036,47.66839378238342,10.05181347150259,10.259067357512954
1033,1442,"Solve basic introduction simultaneous equation problems, often involving shapes and symbols",63,Simultaneous Equations,A,"Chris orders \( 3 \) cups of tea and a cake, and his bill comes to £3.10

Amy orders \( 5 \) cups of tea and a cake, and her bill comes to \( £ 4.50 \).
How much does one cup of tea cost?",\( 70 p \),\( 90 p \),E1,\( £ 1.40 \),,1266.0,512.0,1417.0,3,106,10,10,129,2.3255813953488373,82.17054263565892,7.751937984496124,7.751937984496124
1034,42,Place or identify the location of an integer between 100 and 1000 on a number line,216,Estimation,C,Which number line shows a good estimate for the position of the number shown?,"![A number line from 0 to 10000 with the value 857 incorrectly labelled, with an arrow, between the midpoint and 10000]()","![A number line from 0 to 1000 with the value 499 incorrectly labelled, with an arrow, just after the midpoint]()","![A number line from 1000 to 2000 with the value 1250 correctly labelled, with an arrow, between 1000 and the midpoint]()","![A number line from 0 to 10000 with the value 8967 incorrectly labelled, with an arrow, after the midpoint]()",1957.0,,,,1,4,9,33,47,2.127659574468085,8.51063829787234,19.148936170212767,70.2127659574468
1035,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,D,"Expand:
\(
-(2-3 p)
\)",\( 2-3 p \),\( -2-3 p \),\( 2+3 p \),\( -2+3 p \),583.0,1597.0,1911.0,,15,84,18,30,147,10.204081632653061,57.14285714285714,12.244897959183673,20.408163265306122
1036,2299,Calculate the volume of a triangular-based prism when the dimensions are given in the same units,189,Volume of Prisms,C,"Which of the three marked lengths is not needed when calculating the volume of this shape? ![A triangular prism with length 6cm. The triangular face is a right-angled triangle with base 4cm, height 3cm and longest edge 5cm. ]()",\( 3 \mathrm{~cm} \),\( 4 \mathrm{~cm} \),\( 5 \mathrm{~cm} \),\( 6 \mathrm{~cm} \),590.0,590.0,,554.0,49,25,33,137,244,20.081967213114755,10.245901639344263,13.524590163934427,56.14754098360656
1037,576,Calculate percentage of an amount mentally where the percent is an integer,233,Percentages of an Amount,D,What is \( 4 \% \) of \( 200 ? \),\( 4 \),\( 204 \),\( 80 \),\( 8 \),2138.0,2206.0,1070.0,,493,155,67,85,800,61.625,19.375,8.375,10.625
1038,2236,Convert from weeks to hours,209,Time,B,Which one of the following calculations would work out the number of hours in \( 10 \) weeks?,\( 10 \times 5 \times 24 \),\( 10 \times 7 \times 24 \),\( 10 \times 24 \),\( 10 \times 7 \times 12 \),950.0,,1179.0,443.0,79,6,11,6,102,77.45098039215686,5.88235294117647,10.784313725490197,5.88235294117647
1039,3085,Can calculate missing coordinates in a geometric shape,406,Naming Co-ordinates in 2D,C,"Here are \( 3 \) vertices of a rectangle:
\((-6,-2),(-3,2),(0,0) \text {, }\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?","\( (-6,-4) \)","\( (-3,-2) \)","\( (-3,-4) \)","\( (-2,-3) \)",110.0,2464.0,,110.0,10,4,7,42,63,15.873015873015872,6.349206349206349,11.11111111111111,66.66666666666666
1040,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,A,Simplify the following if possible: \( \frac{6+9 m}{3} \),\( 2+3 m \),\( 6+3 m \),\( 2+9 m \),None of the options,,363.0,363.0,1540.0,57,4,8,5,74,77.02702702702703,5.405405405405405,10.81081081081081,6.756756756756757
1041,2229,Convert from seconds to hours,209,Time,D,How many hours is \( 3600 \) seconds?,\( 60 \),\( 36 \),\( 3.6 \),\( 1 \),2149.0,1718.0,508.0,,24,86,293,41,444,5.405405405405405,19.36936936936937,65.990990990991,9.234234234234235
1042,1489,Solve quadratic equations using factorisation in the form (px + a)(qx + b) ,65,Quadratic Equations,D,"Tom and Katie are discussing how to solve this quadratic equation:
\(
(5 x+2)(2 x-5)=0
\)

Tom says one solution is: \( x=\frac{2}{5} \)

Katie says one solution is: \( x=-\frac{5}{2} \)

Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,783.0,,471.0,,33,16,23,71,143,23.076923076923077,11.188811188811188,16.083916083916083,49.65034965034965
1043,3320,Use inequality notation to order fractions with the same numerators,228,Ordering Fractions,A,"Which signs belong in the boxes to make the statement correct?
\(
\frac{1}{5} \;\square\; \frac{1}{6}\; \square \;\frac{1}{3}
\)",\( >< \),\( << \),\( >> \),\( <> \),,,,2030.0,111,194,620,840,1765,6.288951841359773,10.991501416430594,35.12747875354108,47.59206798866856
1044,1786,Work out the sum of the interior angles in polygons,183,Angles in Polygons,C,What do all the interior angles of this shape add up to? ![Irregular hexagon](),\( 360^{\degree} \),\( 540^{\degree} \),\( 720^{\degree} \),Not enough information to work it out,28.0,2341.0,,464.0,16,66,9,19,110,14.545454545454545,60.0,8.181818181818182,17.272727272727273
1045,1960,Identify questions involving a 2D right-angled triangle that require the use of the Cosine (cos) ratio,279,Right-angled Triangles (SOHCAHTOA),B,Which ratio would you use to find the value of \( \theta \) ? ![A right angled triangle with the longest side labelled 10cm. The base of the triangle is 6cm. The angle made between the 6cm and 10cm sides is labelled as θ.](),Sin,Cos,Tan,None of these,1738.0,,501.0,1450.0,9,10,18,90,127,7.086614173228346,7.874015748031496,14.173228346456693,70.86614173228347
1046,1501,Carry out the first stage in an iteration solution,69,Trial and Improvement and Iterative Methods,B,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the value of \( x_{2} \) ?
",\( 2 \),\( 4.5 \),\( 4.7777 \ldots \),Another answer,1394.0,,1631.0,,6,10,20,106,142,4.225352112676056,7.042253521126761,14.084507042253522,74.64788732394366
1047,947,"Given a line segment, calculate the gradient where the gradient is a positive integer",261,Gradient as change in y over change in x,C,"What is the gradient of this line? ![A set of axes with a graph drawn on. The graph passes through the points (0,0) and (1,2)]()",\( 0 \),\( 2 x \),\( 2 \),\( 1 \),2500.0,2127.0,,,10,6,2,29,47,21.27659574468085,12.76595744680851,4.25531914893617,61.702127659574465
1048,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,A,"Expand:
\[
-(1-2 p)
\]",\( -1+2 p \),\( -1-2 p \),\( 1+2 p \),\( 1-2 p \),,220.0,1911.0,583.0,66,224,18,9,317,20.82018927444795,70.66246056782335,5.678233438485805,2.8391167192429023
1049,1414,Expand products of three binomials in the form (x + a)(x + b)(x + c),335,Expanding Triple Brackets and more,B,"When Aneesa expands these brackets, how many terms should she get after she simplifies? \( (p+3)(p+4)(p+5) \)",\( 3 \),\( 4 \),\( 5 \),\( 8 \),2585.0,,,,61,265,34,20,380,16.05263157894737,69.73684210526315,8.947368421052632,5.263157894736842
1050,1421,Factorise a single bracket containing a linear expression by taking out a single numeric common factor (e.g. 6),52,Factorising into a Single Bracket,C,Factorise fully \( 18 a-12 \),\( 2(9 a-6) \),\( 18(a-6) \),\( 6(3 a-2) \),\( 9(2 a-1) \),1262.0,1666.0,,,60,20,22,101,203,29.55665024630542,9.852216748768473,10.83743842364532,49.75369458128079
1051,3215,Round numbers to an appropriate degree to estimate the answer to a calculation,216,Estimation,D,"When estimating the answer to a complicated problem involving \( 0.0584 \), you should instead use...",\( 0 \),\( 0.05 \),\( 0.058 \),\( 0.06 \),1876.0,1379.0,1809.0,,35,368,37,12,452,7.7433628318584065,81.41592920353983,8.185840707964601,2.6548672566371683
1052,3504,Continue a sequence involving triangle numbers,173,Other Sequences,A,"Here are two consecutive triangle numbers: \( 120,136, \ldots \) What is the next triangle number in the sequence?",\( 153 \),\( 256 \),\( 151 \),\( 152 \),,1410.0,2446.0,2250.0,159,316,788,212,1475,10.779661016949152,21.423728813559322,53.42372881355932,14.372881355932204
1053,1431,Factorise a quadratic expression in the form x² - bx - c,53,Factorising into a Double Bracket,A,"Which answer shows the correct factorisation of:
\(
x^{2}-x-6
\)",\( (x-3)(x+2) \),\( (x-3)(x-2) \),\( (x+3)(x+2) \),\( (x+3)(x-2) \),,1597.0,,1535.0,38,23,303,14,378,10.052910052910052,6.084656084656085,80.15873015873017,3.7037037037037033
1054,2950,Assign probabilities to single events using percentages,111,Probability of Single Events,A,"This four-sided spinner is fair.
What is the probability of spinning a \( 2 \) ?
Give your answer as a percentage ![A four sided spinner labelled with 1, 2, 3 and 4]()",\( 25 \% \),\( 40 \% \),\( 20 \% \),\( 33.333 \ldots \% \),,1914.0,,,61,31,187,17,296,20.60810810810811,10.472972972972974,63.17567567567568,5.743243243243244
1055,427,Add proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,D,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Fractions 3/5 and 1/4 in two separate circles, both linked to a third circle above.]()",\( \frac{4}{9} \),\( \frac{4}{20} \),\( \frac{7}{20} \),\( \frac{17}{20} \),217.0,1655.0,,,153,556,143,81,933,16.39871382636656,59.59271168274384,15.326902465166132,8.681672025723474
1056,1105,"Given a term in an ascending integer linear sequence, use the nth term rule to find its position in that sequence",171,Linear Sequences (nth term),D,Here are the first \( 4 \) terms of a sequence \( \begin{array}{lllll}11 & 15 & 19 & 23 & \ldots\end{array} \) What position in the sequence is the number \( 67 \) ?,\( 16.75 \),\( 275 \),\( 4 n+7 \),\( 15 \),2252.0,,,,9,33,65,172,279,3.225806451612903,11.827956989247312,23.297491039426525,61.648745519713266
1057,1425,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),52,Factorising into a Single Bracket,A,"Factorise this expression, if possible:
\(
p^{2}+100 p
\)",\( p(p+100) \),\( (p-10)(p+10) \),\( (p+10)(p+10) \),Does not factorise,,838.0,838.0,3.0,22,15,12,28,77,28.57142857142857,19.480519480519483,15.584415584415584,36.36363636363637
1058,2651,"Reflect an object or a point in a diagonal line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",92,Reflection,C,"A point, \( Q \), has coordinates \( (-3,3) \)
The point is reflected in the line \( y=-x \)
What are the new coordinates of point \( Q \) ?","\( (3,3) \)","\( (-3,-3) \)","\( (-3,3) \)","\( (3,-3) \)",2465.0,1541.0,,283.0,88,113,76,1274,1551,5.673758865248227,7.285622179239201,4.9000644745325594,82.14055448098001
1059,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"\(
20.4593
\)

What is the first significant figure in the number above?",\( 2 \),\( 0 \),\( 4 \),\( 5 \),,380.0,409.0,380.0,45,1,11,5,62,72.58064516129032,1.6129032258064515,17.741935483870968,8.064516129032258
1060,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,D,"The dashes on the sides tell us that this is a \(__________\) polygon

What word completes the sentence? ![A shape with five equal sides. Each side has a small dash through the middle.]()",Parallel,Pentagon,Irregular,Regular,114.0,2137.0,255.0,,25,19,103,13,160,15.625,11.875,64.375,8.125
1061,1148,Find the nth term rule for ascending quadratic sequences in the form x² + bx + c,172,Quadratic Sequences,D,"\(10,21,34,49,66, \ldots\)

When calculating the nth-term rule of this sequence, 
what should replace the triangle?

nth-term rule: \( n^{2} \)\( \color{red}\triangle \)  \(n\) \( \color{purple}\square \)",\( 5.5 \),\( -8 \),"\[
+1
\]
(or just a + sign)",\( +8 \),,1213.0,2139.0,,13,6,50,3,72,18.055555555555554,8.333333333333332,69.44444444444444,4.166666666666666
1062,162,Interpret and carry out mental division using a bar model,208,Written Division,C,"Find the value of \( P \). ![Horizontal green bar divided into 5 equal sections. Each section is labelled with a ""P"". Curly bracket shows that 3 of the sections sum to 615.]()",\( 200 \),\( 123 \),\( 205 \),\( 1845 \),1764.0,717.0,,2314.0,87,60,47,29,223,39.01345291479821,26.905829596412556,21.076233183856502,13.004484304932735
1063,3440,"Given an x value, find the corresponding y value from a non-linear graph",57,Cubics and Reciprocals,B,"Here is the graph of
\(
y=\frac{4}{x}
\)

What is the value of \( y \) when \( x=-1 \) ? ![A graph with two curves. Y axis from -5 to 5 and x axis from -5 to 5 marked in increments of 1.  One curve is in the positive x, positive y quadrant. It starts at the top close to the line x = 1, as we move right it drops very quickly towards the x axis then levels off to travel almost parallel to the line y =1. It goes through (1, 4) (2,2) and (4,1).  One curve is in the negative x negative y quadrant. It starts at the top left of the quadrant almost parallel to y = -1, then we move right and it curves downwards towards the y axis then levels off to travel almost parallel to the x = -1 line. It goes through (-4, -1) (-2, -2) and (-1,-4)]()",\( 4 \),\( -4 \),\( 1 \),\( -1 \),1558.0,,,,420,226,160,179,985,42.63959390862944,22.944162436548226,16.243654822335024,18.17258883248731
1064,2087,Estimate the volume or capacity of an object,189,Volume of Prisms,A,"Each of these measurements matches one of these objects. ![An image of 4 objects and 4 measurements. The objects are an egg cup, a cereal box, a chest of drawers and a piggy bank. And, the measurements are 87 cm^3, 1013 cm^3, 4172 cm^3 and 197,177 cm^3.]() Which measurement most likely matches the egg cup?",\( 87 \mathrm{~cm}^{3} \),\( 1013 \mathrm{~cm}^{3} \),\( 4172 \mathrm{~cm}^{3} \),\( 197177 \mathrm{~cm}^{3} \),,233.0,233.0,233.0,376,133,372,105,986,38.13387423935091,13.488843813387424,37.72819472616633,10.649087221095336
1065,920,Recognise the equations of horizontal lines from a diagram,258,Horizontal and Vertical Lines,D,"What is the equation of this line? ![The diagram shows a pair of axes, x and y ranging from -6 to 5 horizontally and -3 to 4 vertically. There is a horizontal line that passes through the y axis at -2. ]()",\( x=-2 \),\( y=-2 x \),\( x y=-2 \),\( y=-2 \),2113.0,1568.0,1144.0,,1132,539,402,362,2435,46.48870636550308,22.13552361396304,16.50924024640657,14.86652977412731
1066,1266,Recognise and name an identity,70,Writing Expressions,D,"Which of the following is the most appropriate name for this:
\(p-3 \equiv-(3-p)\)",Equation,Expression,Formula,Identity,553.0,2022.0,1311.0,,1222,183,221,146,1772,68.96162528216703,10.327313769751694,12.471783295711061,8.239277652370202
1067,3114,Identify the outcomes of a single event,111,Probability of Single Events,A,"This is a fair spinner.

How many possible outcomes are there if it is spun once? ![A hexagonal shaped spinner with 6 equal sections labelled 1, 3, 3, 5, 5 and 5.]()",\( 6 \),\( 3 \),\( 1 \),"\( 1,3 \) or \( 5 \)",,2094.0,1616.0,1757.0,116,128,648,429,1321,8.781226343679032,9.689629068887207,49.05374716124148,32.47539742619227
1068,1414,Expand products of three binomials in the form (x + a)(x + b)(x + c),335,Expanding Triple Brackets and more,C,Which of the following answers shows a correct expansion of the expression below? \( (x-2)^{3} \),\( x^{3}-8 \),\( x^{3}-6 x^{2}-6 x-8 \),\( x^{3}-6 x^{2}+12 x-8 \),\( x^{3}-12 x^{2}+6 x-8 \),1872.0,,,,9,139,20,16,184,4.891304347826087,75.54347826086956,10.869565217391305,8.695652173913043
1069,3176,"For a given algebraic input, find the output of a function machine",649,Function Machines,B,"Tom and Katie are discussing the output of this 2-step function machine ![A two step function machine with x as the input. The first functions is x5 and the second function says 'subtracted from 8'. The output is blank.]() Tom says the output is \( \mathbf{5} \boldsymbol{x}-\mathbf{8} \)

Katie says the output is \( \mathbf{8}-\mathbf{5} \boldsymbol{x} \)

Who is correct?",Only Tom,"Only
Katie",Both Tom and Katie,Neither is correct,2048.0,,2048.0,,477,36,57,16,586,81.39931740614334,6.143344709897611,9.726962457337883,2.7303754266211606
1070,246,Carry out addition problems involving one negative integer,211,Adding and Subtracting Negative Numbers,C,"Jamie is counting up in threes. He starts at \( -14 \).

What is the \( 5^{\text {th }} \) number he says?",\( -26 \),\( 1 \),\( -2 \),\( -29 \),2185.0,,,2185.0,34,4,14,7,59,57.6271186440678,6.779661016949152,23.728813559322035,11.864406779661017
1071,212,Round non-integers to the nearest 100,213,"Rounding to the Nearest Whole (10, 100, etc)",A,What is \( \mathbf{1 6 5 1 . 4 3} \) rounded to the nearest hundred?,\( 1700 \),\( 2000 \),\( 1600 \),\( 1650 \),,1248.0,1379.0,2392.0,20,9,51,6,86,23.25581395348837,10.465116279069768,59.30232558139535,6.976744186046512
1072,1737,Use a protractor to measure angles between 90° and 180°,180,Measuring Angles,B,What is the size of this angle? ![An image of a protractor. There is a red line going from the middle to 0/180 and another line from the middle to in between 160/20 and 170/10. ](),\( 15^{\circ} \),\( 165^{\circ} \),\( 0^{\circ} \),This is not an angle,1188.0,,864.0,872.0,1,9,5,255,270,0.3703703703703704,3.3333333333333335,1.8518518518518516,94.44444444444444
1073,371,Convert fractions to two digit integer percentages,238,Converting between Fractions and Percentages,A,"Convert this fraction to a percentage
\( \frac{4}{5} \)",\( 80 \% \),\( 40 \% \),\( 45 \% \),\( 75 \% \),,,1786.0,,194,14,22,14,244,79.50819672131148,5.737704918032787,9.01639344262295,5.737704918032787
1074,3134,Identify factors of algebraic expressions,52,Factorising into a Single Bracket,D,Which of the following is a factor of: \( 6 n^{2}-9 \),\( 6 \),\( 9 \),\( n \),\( 3 \),91.0,519.0,91.0,,40,2,0,0,42,95.23809523809523,4.761904761904762,0.0,0.0
1075,1354,"Mark a point in the second quadrant of a 2D grid having been given its coordinates, where both values are integers",167,Graphing Linear Inequalities (Shading Regions),B,Which region describes where \( \boldsymbol{x}>\mathbf{0} \) and \( \boldsymbol{y}<\mathbf{0} \) ? ![A set of axis showing all four quadrants. y axis from -3 to 3 and x axis from -3 to 3](),A,B,C,D,,,,1880.0,405,37,74,32,548,73.90510948905109,6.751824817518248,13.503649635036496,5.839416058394161
1076,3349,Identify and represent sets using set notation,111,Probability of Single Events,A,"Tom and Katie are discussing the probability spinner

Tom says the sample space can be written as: \( S=\{5,6\} \)

Katie says the sample space can be written as: \( S=\{5,5,6,6,6\} \)
Who do you agree with? ![A circle divided into 5 equal sections. 3 of the sections are labelled with a purple number 6. 2 of the sections are labelled with a blue number 5.]()","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,,2561.0,,,7,11,4,19,41,17.073170731707318,26.82926829268293,9.75609756097561,46.34146341463415
1077,1042,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,166,Solving Linear Inequalities,A,"In which region would \( x=-5.3 \) belong? ![A Venn diagram made up of two overlapping circles. One circle is labelled x+5.3 is less than or equal to 0 and the other circle is labelled -(5.3+x)/2 is greater than 0.
A is in the x+5.3 is less than or equal to 0 circle only.
B is in the overlap of the two circles.
C is in the -(5.3+x)/2 is great than 0 circle only.
D is outside both circles.]()",A,B,C,D,,84.0,,,48,340,49,110,547,8.775137111517367,62.15722120658135,8.957952468007313,20.109689213893965
1078,2150,Convert between kg and tonne,198,Weight Units,A,\( 3000 \mathrm{~kg} \) is the same as \( ___ \) tonnes,\( 3 \),\( 30 \),\( 300 \),\( 3000000 \),,1491.0,765.0,1074.0,15,67,38,876,996,1.5060240963855422,6.7269076305220885,3.815261044176707,87.95180722891565
1079,479,Calculate the square root of a number,246,"Square Roots, Cube Roots, etc",D,What is the square root of sixteen?,\( 8 \),\( 32 \),\( 256 \),\( 4 \),2248.0,2017.0,1012.0,,23,61,59,57,200,11.5,30.5,29.5,28.499999999999996
1080,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\[
73975
\]",\( 70000 \),\( 80000 \),\( 7 \),\( 74000 \),,1988.0,663.0,1248.0,1268,162,55,20,1505,84.25249169435216,10.764119601328904,3.6544850498338874,1.3289036544850499
1081,1560,Given a situation sketch an appropriate real life graph,58,Real Life Graphs,D,A taxi company has a \( £ 1.50 \) fixed charge and then charges \( 60 p \) per mile. Sam correctly sketches a graph to show the cost of different length journeys with the company. Which of the following graphs would best match Sam's sketch?,![A graph with distance on the horizontal axis and cost on the vertical axis. The graph starts at a point on the positive horizontal axis and travels horizontally right and upwards in a steep straight line.](),![A graph with distance on the horizontal axis and cost on the vertical axis. The graph starts at a point on the positive vertical axis and travels horizontally right.](),![A graph with distance on the horizontal axis and cost on the vertical axis. The graph starts at the origin and travels in a straight line right and upwards.](),![A graph with distance on the horizontal axis and cost on the vertical axis. The graph starts at a point on the positive vertical axis and travels horizontally right and upwards in a straight line.](),,1784.0,1519.0,,6,1,7,125,139,4.316546762589928,0.7194244604316548,5.0359712230215825,89.92805755395683
1082,1551,"Given a negative x value, find the corresponding y value for the curve y = x3 + c",57,Cubics and Reciprocals,A,"Tom and Katie are discussing the table of values for \( \boldsymbol{y}=\boldsymbol{x}^{\mathbf{3}} \) \begin{tabular}{|l|l|}
\hline\( x \) & \(\color{gold}\bigstar\) \\
\hline\( y \) & \( 27 \) \\
\hline
\end{tabular} Tom says the star could be \( 3 \).

Katie says the star could be \( -3 \).

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,,,602.0,,77,830,124,233,1264,6.091772151898734,65.66455696202532,9.81012658227848,18.43354430379747
1083,1407,Expand two brackets with linear terms in the form (x + a)(x + b),51,Expanding Double Brackets,D,"What should replace the circle when these two brackets are expanded and simplified?
\(
(p+5)(p-4) \equiv p^{2} \triangle p \bigcirc
\)",\( \bigcirc=+1 \),\( \bigcirc=+20 \),\( \bigcirc=-9 \),\( \bigcirc=-20 \),2143.0,974.0,,,10,2,33,10,55,18.181818181818183,3.6363636363636362,60.0,18.181818181818183
1084,50,Find 100 less than a given number,202,Place Value,C,"What number is \( 100 \) less than \( 876,099 ? \)",\( 876.099 \),"\( 876,199 \)","\( 875,999 \)","\( 875,099 \)",228.0,,,2264.0,21,56,99,10,186,11.29032258064516,30.107526881720432,53.2258064516129,5.376344086021505
1085,322,Divide two decimals with a different number of decimal places,224,Multiplying and Dividing with Decimals,B,\( 50.09 \div 0.1= \),\( 50.009 \),\( 500.9 \),\( 500.09 \),\( 5.009 \),539.0,,539.0,447.0,87,0,3,0,90,96.66666666666667,0.0,3.3333333333333335,0.0
1086,3144,Change decimals of hours into minutes,209,Time,C,\( 0.6 \) hours \( = _____\) minutes,\( 6 \),\( 120 \),\( 36 \),\( 60 \),767.0,,,161.0,40,4,3,6,53,75.47169811320755,7.547169811320755,5.660377358490567,11.320754716981133
1087,1743,Find missing angles using angles around a point,181,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"What is the size of angle \( x \) ? ![Angles around a point split into two parts, one is labelled 290 degrees and the other x]()",\( 290^{\circ} \),\( 70^{\circ} \),\( 50^{\circ} \),\( 45^{\circ} \),415.0,,2334.0,2334.0,2,17,11,85,115,1.7391304347826086,14.782608695652174,9.565217391304348,73.91304347826086
1088,3407,Identify pairs of numbers that satisfy an equation with two unknowns ,67,Substitution into Formula,B,"\[
x+y=8
\]
Which pair of numbers fits the equation?",\( \begin{array}{l}x=10 \\ y=2\end{array} \),\( \begin{array}{c}x=10 \\ y=-2\end{array} \),\( \begin{array}{l}x=8 \\ y=1\end{array} \),\( \begin{array}{c}x=-8 \\ y=1\end{array} \),2487.0,,2487.0,2230.0,40,161,39,98,338,11.834319526627219,47.633136094674555,11.538461538461538,28.994082840236686
1089,52,Find another power of 10 less than a given number,202,Place Value,A,"What number is \( 10,000 \) less than \( 509,570 \) ?","\( 499,570 \)","\( 519,570 \)",\( 50.957 \),"\( 409,570 \)",,,228.0,2264.0,3,3,7,41,54,5.555555555555555,5.555555555555555,12.962962962962962,75.92592592592592
1090,1274,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,251,Simplifying Expressions by Collecting Like Terms,B,"Simplify the following expression by collecting
like terms
\(6 x-2 y-x+3 y\)",\( 5 x+5 y \),\( 5 x+y \),\( 7 x+5 y \),\( 7 x+y \),1380.0,,2046.0,1380.0,81,868,144,91,1184,6.841216216216216,73.3108108108108,12.162162162162163,7.685810810810811
1091,1276,Simplify algebraic expressions to maintain equivalence by collecting like terms involving non-linear variables,251,Simplifying Expressions by Collecting Like Terms,C,Simplify the following by collecting like terms. \( \frac{2}{3} k^{2}+\frac{1}{6} k^{2}-\frac{1}{3} k^{2}+\frac{5}{6} k^{2} \),\( 2 k^{2} \),\( \frac{1}{3} k^{2}+\frac{6}{6} k^{2} \),\( 1 \frac{1}{3} k^{2} \),\( \frac{1}{3} k^{2}+k^{2} \),1380.0,,,528.0,37,2,2,1,42,88.09523809523809,4.761904761904762,4.761904761904762,2.380952380952381
1092,2760,Calculate the median as an average from an even numbered list of data,102,"Averages (mean, median, mode) from a List of Data",B,"What is the median of the following numbers?
\[
2, \quad 0.2, \quad 0.02, \quad 0.002
\]",\( 0.22 \),\( 0.11 \),\( 0.44 \),\( 0.011 \),2426.0,,2427.0,,39,7,15,11,72,54.166666666666664,9.722222222222223,20.833333333333336,15.277777777777779
